               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.8465,              5.8349,               5.351,          2.5305e-05,          0.00042493,          1.3056e-05,          3.4851e-06,                   0,                   0,                   0,            0.070667,           0.0032593,           0.0032593
                   1,              5.5753,              5.1783,              5.0112,          4.2221e-05,          0.00070822,          2.1766e-05,          5.2952e-06,                   0,                   0,                   0,            0.040601,           0.0065273,           0.0065273
                   2,              4.3708,              4.0946,              4.2366,            0.056618,            0.068824,            0.016786,           0.0047981,                   0,                   0,                   0,             0.01047,           0.0097294,           0.0097294
                   3,              3.4803,              3.2115,              3.4993,             0.20355,             0.17483,            0.081339,            0.026265,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.9821,              2.6415,              2.9653,             0.35651,             0.23834,             0.24529,            0.098825,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.6971,              2.2254,              2.6371,             0.36717,             0.37739,             0.35655,             0.15518,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.4785,              1.9593,               2.398,             0.47159,             0.45394,             0.43626,             0.20792,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.3511,              1.8179,              2.2699,             0.51791,             0.46665,             0.48696,             0.24081,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.2183,              1.6446,              2.1347,             0.54343,             0.53239,             0.52113,             0.26154,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.1213,              1.5636,              2.0606,             0.52593,             0.49864,             0.51156,             0.27103,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.0455,               1.514,              1.9787,             0.49866,             0.55883,             0.56415,             0.30149,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.9791,              1.3962,              1.9311,             0.60514,             0.58262,             0.59379,              0.3331,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.9288,              1.3395,              1.8836,             0.61603,               0.598,             0.59571,             0.32666,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.8667,              1.2866,               1.839,             0.60558,             0.60048,             0.58847,             0.33269,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.8403,              1.2557,              1.8173,             0.58428,             0.57311,             0.58971,             0.32589,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              1.8048,              1.2329,               1.782,             0.65176,             0.59605,              0.6252,             0.36185,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.7713,              1.1881,              1.7689,             0.59488,             0.60381,             0.62668,             0.36216,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.7519,              1.1647,              1.7348,             0.60693,             0.61613,             0.61742,             0.33995,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.6998,              1.1306,              1.7224,             0.64659,             0.65829,             0.64591,             0.37836,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.6799,              1.1143,              1.7147,             0.60184,             0.62407,             0.61929,             0.36393,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.6555,              1.0974,              1.6787,             0.63891,             0.63326,             0.64101,             0.38036,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.6286,              1.0677,              1.6661,             0.65071,             0.65271,              0.6623,             0.39698,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.6216,              1.0605,              1.6654,             0.62457,             0.63487,             0.64872,             0.38005,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,               1.592,              1.0332,              1.6348,              0.6747,             0.64521,             0.65973,             0.39055,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.5909,                1.03,              1.6288,             0.62542,             0.65998,             0.65877,              0.3956,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,               1.557,              1.0112,              1.6159,             0.63143,             0.66058,              0.6647,             0.40048,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.5522,             0.99216,              1.6118,             0.67385,              0.6561,             0.67434,             0.40597,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,               1.522,             0.98041,              1.5906,             0.63524,             0.66885,             0.67459,             0.41266,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              1.4965,             0.95986,              1.5726,             0.65812,             0.66597,             0.66783,             0.40455,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              1.4893,             0.95481,              1.5583,             0.66987,             0.64571,             0.66415,             0.40062,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.4848,             0.94098,              1.5614,             0.67184,             0.65442,             0.67308,             0.40407,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.4666,              0.9322,              1.5488,             0.66427,              0.6661,             0.67427,             0.40981,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.4614,             0.92395,              1.5411,             0.68561,             0.66505,             0.67512,             0.41425,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.4322,             0.91042,              1.5212,             0.68403,             0.66264,             0.68432,             0.42037,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.4357,             0.90271,              1.5183,             0.66868,             0.68153,             0.68103,              0.4166,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.4086,              0.8871,              1.5196,             0.66854,             0.66993,             0.67697,             0.40951,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              1.3987,             0.89161,              1.5028,             0.66676,             0.68169,             0.68885,             0.42628,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              1.3892,             0.87303,              1.4993,             0.66548,             0.65849,             0.67685,             0.41194,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.3919,             0.87939,               1.492,             0.67424,             0.68092,             0.69038,             0.42625,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.3733,             0.85926,              1.4841,             0.66593,             0.68534,             0.68569,             0.42442,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.3603,             0.86741,              1.4825,             0.66491,             0.67375,             0.68979,             0.42201,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.3482,             0.84673,              1.4779,              0.6984,             0.66499,              0.6886,             0.42227,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.3391,             0.82891,              1.4645,             0.67155,             0.67693,             0.68744,              0.4242,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.3381,             0.83786,              1.4646,             0.67429,             0.69377,             0.68675,             0.42394,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              1.3188,              0.8205,              1.4525,             0.69759,             0.66859,             0.69515,             0.43045,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.2998,             0.81313,              1.4415,             0.67841,             0.65996,             0.68629,             0.42169,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.2928,              0.8084,              1.4402,             0.68944,             0.66849,             0.68773,             0.42218,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.2809,             0.79719,               1.431,             0.69109,             0.67444,             0.68964,             0.42666,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.2804,             0.79873,              1.4306,             0.67968,             0.68454,             0.69406,             0.43238,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.2719,             0.78985,              1.4193,             0.68747,             0.68073,             0.69381,             0.42989,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.2723,             0.79231,              1.4172,             0.68384,             0.66507,             0.68995,             0.42523,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.2563,              0.7814,              1.4114,             0.69382,             0.68724,             0.70025,              0.4375,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.2314,             0.76968,              1.4092,             0.69933,             0.66321,             0.69703,             0.43376,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.2246,             0.76477,               1.399,             0.69654,             0.67853,             0.70139,             0.43695,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.2199,             0.76243,              1.3914,               0.705,             0.65472,             0.69549,             0.43086,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.2137,             0.75682,              1.3873,             0.69172,             0.67665,             0.69177,              0.4328,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.2192,             0.74941,              1.3823,             0.68198,             0.69896,             0.69242,             0.43258,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.2044,             0.74692,              1.3792,             0.66503,             0.68148,             0.68743,             0.43126,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.1946,             0.74149,               1.376,             0.68391,             0.69324,             0.69595,              0.4369,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.1905,              0.7381,              1.3714,             0.68737,             0.69819,             0.69391,             0.43124,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.1735,             0.73727,              1.3662,             0.67701,             0.67986,              0.6946,             0.43452,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.1692,             0.72593,              1.3702,             0.69852,             0.69017,             0.69735,             0.43535,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.1606,             0.71258,              1.3563,             0.67468,             0.69907,             0.69375,             0.43175,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.1514,             0.71185,              1.3534,             0.70849,             0.68545,              0.7001,             0.43961,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.1371,             0.70957,               1.357,             0.69795,             0.68753,             0.69696,             0.43645,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.1597,             0.71306,              1.3541,             0.69031,             0.67507,             0.69253,             0.43042,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.1312,             0.70379,              1.3391,             0.70132,              0.6866,             0.69767,             0.44079,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,              1.1306,             0.69768,              1.3393,             0.69508,              0.6912,             0.69473,             0.43557,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.1145,             0.68767,              1.3331,             0.67854,             0.70036,             0.69586,             0.43819,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,               1.109,             0.68865,              1.3275,              0.7047,             0.68644,             0.70094,             0.44003,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.0964,             0.68584,              1.3251,             0.70716,             0.68764,             0.70286,             0.44065,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,               1.098,             0.67685,              1.3166,             0.71351,             0.67808,             0.69701,             0.43624,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.0829,             0.66995,              1.3171,              0.7054,             0.68623,             0.70115,             0.44159,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.0901,             0.67477,              1.3191,             0.68861,             0.70075,             0.69884,             0.43678,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.0662,             0.66509,              1.3057,             0.68376,             0.69786,              0.6966,             0.43598,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.0723,             0.66292,              1.3102,             0.72037,             0.67852,             0.70346,             0.44448,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.0586,             0.65646,              1.2987,             0.70489,             0.68918,               0.706,             0.44222,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.0714,             0.65775,              1.3027,             0.71174,             0.67464,             0.69702,             0.43854,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,               1.041,             0.64823,              1.2985,             0.72067,              0.6727,             0.69527,             0.43542,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.0377,             0.64374,              1.2908,             0.70341,             0.69073,             0.70214,             0.44298,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.0309,             0.63935,              1.2899,             0.69839,             0.68027,             0.69707,             0.43773,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.0321,             0.64191,              1.2869,             0.70954,             0.67106,             0.70009,             0.43876,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.0163,             0.62851,              1.2744,             0.69835,             0.68931,             0.69857,              0.4361,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.0272,             0.63768,              1.2823,             0.69337,             0.68538,             0.69597,             0.43844,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.0182,             0.64305,              1.2827,             0.69425,             0.69746,             0.69939,             0.44136,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.99757,             0.62455,              1.2723,             0.71514,             0.67981,             0.69938,             0.44109,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
