               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.8656,              5.9455,               5.366,          6.0074e-05,           0.0011331,          3.0654e-05,          6.2789e-06,                   0,                   0,                   0,              0.0802,              0.0022,              0.0022
                   1,              5.8677,              5.7406,              5.2929,          4.7366e-05,          0.00084986,          2.4009e-05,           5.285e-06,                   0,                   0,                   0,            0.059455,           0.0044554,           0.0044554
                   2,              5.5174,              5.2151,              4.9947,          4.0906e-05,          0.00070822,          2.3929e-05,          5.9129e-06,                   0,                   0,                   0,            0.038665,           0.0066654,           0.0066654
                   3,              4.3626,               4.088,              4.2065,          0.00063844,            0.014607,          0.00033461,          0.00010284,                   0,                   0,                   0,             0.01783,           0.0088297,           0.0088297
                   4,              3.6167,               3.454,              3.5054,             0.35733,             0.12896,            0.057065,            0.017743,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   5,              3.1442,              2.8784,              3.0422,             0.16535,             0.23381,             0.12492,            0.038703,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.8349,              2.4801,               2.717,             0.12614,             0.12268,            0.052622,            0.016671,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              2.7051,              2.2864,              2.5618,             0.33096,             0.33852,             0.28898,             0.11894,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.5569,              2.0711,              2.4196,             0.22299,             0.25798,             0.16762,            0.054859,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.4375,              1.9307,              2.3085,             0.43611,             0.33193,             0.36469,             0.16079,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.3329,              1.8895,              2.1867,             0.47121,             0.44153,             0.41323,             0.18553,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,               2.261,              1.7447,              2.1591,             0.33341,             0.39999,             0.31297,             0.12181,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.2132,              1.6721,              2.1143,             0.47496,             0.47858,             0.45891,             0.21618,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.1439,              1.5766,              2.0422,             0.47415,             0.43011,             0.45815,             0.22502,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,               2.095,              1.5157,              2.0207,             0.48851,             0.51153,              0.5011,             0.25794,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.0594,              1.5215,              1.9694,             0.47705,             0.51126,              0.4899,             0.24719,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.0122,              1.4468,               1.936,             0.58275,             0.54221,             0.53403,              0.2869,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.9693,              1.3961,              1.9067,             0.55588,             0.56798,             0.55339,             0.29343,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.9595,              1.3584,              1.9001,             0.58553,             0.56367,             0.57041,              0.3077,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              1.8993,              1.3332,              1.8867,             0.54857,             0.56993,             0.54442,             0.30046,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.8913,               1.308,              1.8403,             0.50956,             0.52519,             0.52829,             0.27608,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.8678,               1.281,              1.8421,             0.52453,             0.55672,             0.54256,             0.30014,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.8543,              1.2803,              1.8431,             0.58551,             0.57697,             0.57155,              0.3088,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              1.8256,              1.2414,              1.8159,             0.60914,             0.58243,             0.56851,             0.30848,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              1.7967,              1.2098,              1.7758,             0.58576,             0.58858,             0.59051,             0.32865,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,                1.78,              1.2357,              1.7818,             0.59713,               0.597,             0.60615,             0.33387,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              1.7461,              1.1816,              1.7621,             0.62025,             0.60404,             0.62055,             0.35562,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              1.7413,              1.1633,              1.7511,             0.58735,             0.60056,             0.62488,             0.35046,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,               1.731,              1.1581,              1.7432,             0.60035,             0.63061,             0.62401,             0.34833,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,               1.713,              1.1374,              1.7292,             0.65071,              0.6136,             0.62478,             0.36479,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              1.7085,               1.124,              1.7048,             0.63358,             0.61701,             0.62658,             0.35638,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              1.6913,              1.1152,              1.7038,             0.57037,             0.60191,             0.60894,             0.33207,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              1.6802,              1.1161,              1.6923,             0.61006,             0.60624,             0.62774,             0.36639,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              1.6506,              1.0832,              1.6649,             0.63599,             0.61673,             0.62534,             0.36728,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              1.6931,              1.1412,              1.6619,             0.63833,             0.64167,             0.63966,             0.37005,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              1.6381,              1.0661,              1.6885,              0.6495,             0.63367,             0.64718,             0.37855,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,               1.648,              1.0753,              1.6742,             0.65462,             0.63583,             0.65271,             0.38179,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,               1.617,              1.0447,              1.6458,             0.58872,             0.64852,             0.63861,             0.37672,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              1.6193,              1.0435,               1.659,             0.64631,             0.63277,             0.66109,             0.39039,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              1.6095,               1.047,              1.6375,             0.63194,             0.67746,             0.64951,             0.38639,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              1.6146,              1.0428,              1.6539,             0.66393,             0.63804,             0.65241,             0.37817,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.5917,              1.0359,              1.6395,             0.65239,             0.64575,             0.64797,             0.38653,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
